image,output,timestamp
"{""background"": "".gradio/flagged/image/df4e7d3c9be20643382b/background.png"", ""layers"": ["".gradio/flagged/image/d47c845b6279a59f6d40/layer_0.png""], ""composite"": "".gradio/flagged/image/1b292231a8262983d5f2/composite.png"", ""id"": null}","{""label"": null, ""confidences"": null}",2025-02-28 11:24:58.084118
"{""background"": "".gradio/flagged/image/25fe2c571a3834d89e06/background.png"", ""layers"": ["".gradio/flagged/image/467d7e60fe501bbe1f43/layer_0.png""], ""composite"": "".gradio/flagged/image/8cb79496de0b461bc43f/composite.png"", ""id"": null}","{""label"": ""5"", ""confidences"": null}",2025-02-28 12:37:53.095559
